HighSchool,HSCount,Stay,Dropout,Dropout_Rate
"Gujarat Sec & Higher Sec Ed",4,3,1,75.00
"GLM International School",1,0,1,0.00
"Lycee Al-Horreya De Bab El-Lou",1,0,1,0.00
"E-Gimnazija Grammar School",1,0,1,0.00
"Moore County High School",17,17,0,100.00
"Family Christian Academy",5,5,0,100.00
"Richland High School",3,3,0,100.00
"Powell High School",6,6,0,100.00
"Lenoir City High School",42,42,0,100.00
"Davidson Academy",12,12,0,100.00
"Union City High School",2,2,0,100.00
"Hillsboro High School",8,8,0,100.00
"Seton Home Study School       ",2,2,0,100.00
"Daniel Boone High School",17,17,0,100.00
"Aaron Academy",23,23,0,100.00
"Milan High School",4,4,0,100.00
"Liberty Technology Magnet Hs",2,2,0,100.00
"Cane Ridge High School",6,6,0,100.00
"University School Of Jackson",4,4,0,100.00
"Knoxville Christian School",6,6,0,100.00
"Harriman High School",4,4,0,100.00
"Grace Christian Acad",1,1,0,100.00
"Madison Academic Magnet Hs",18,18,0,100.00
"University School",2,2,0,100.00
"Seymour High School",6,6,0,100.00
"Houston County High School",7,7,0,100.00
"Pleasant View Christian School",5,5,0,100.00
"Shanghai Datong High School",1,1,0,100.00
"Christ Our Rock Lutheran Hs",1,1,0,100.00
"Covenant Academy",5,5,0,100.00
"KIPP Nashville Collegiate HS",2,2,0,100.00
"Boyd-Buchanan School",31,31,0,100.00
"Branson High School           ",1,1,0,100.00
"South Greene High School",3,3,0,100.00
"Ooltewah High School",16,16,0,100.00
"Wayne County High School",2,2,0,100.00
"Zion Christian Academy",8,8,0,100.00
"Shelbyville Central High Sch",11,11,0,100.00
"Cascade High School",6,6,0,100.00
"Hillwood Comprehensive Hs",12,12,0,100.00
"South Doyle High School",4,4,0,100.00
"Sevier County High School",6,6,0,100.00
"Gleason High School",1,1,0,100.00
"Northview Academy",5,5,0,100.00
"Greenback High School",3,3,0,100.00
"Greeneville High School",10,10,0,100.00
"Coalfield High School",7,7,0,100.00
"Chattanooga Hs Ctr Creative Ar",7,7,0,100.00
"Hickman County High School",4,4,0,100.00
"Community High School",4,4,0,100.00
"Peachtree High School         ",1,1,0,100.00
"Hampshire Unit School",1,1,0,100.00
"Fayetteville High School",9,9,0,100.00
"McEwen High School",4,4,0,100.00
"South Pittsburg High School",2,2,0,100.00
"Owensboro Cath High School    ",1,1,0,100.00
"Cumberland Co High School     ",2,2,0,100.00
"Whitwell High School",11,11,0,100.00
"Bartlett High School",18,18,0,100.00
"Halls High School",19,19,0,100.00
"East Hamilton School",13,13,0,100.00
"Fairview High School",10,10,0,100.00
"Gordon Lee High School        ",2,2,0,100.00
"Loretto High School",2,2,0,100.00
"Hampton High School",3,3,0,100.00
"Ezell Harding Christian School",9,9,0,100.00
"Nashville Christian School",7,7,0,100.00
"Hueytown High School          ",1,1,0,100.00
"Yorkville High School         ",1,1,0,100.00
"Huntsville High School        ",1,1,0,100.00
"Buckhorn High School          ",1,1,0,100.00
"Dayspring Academy",3,3,0,100.00
"Saint Benedict School",1,1,0,100.00
"Columbus Christian Academy",1,1,0,100.00
"McKenzie High School",2,2,0,100.00
"Lighthouse Christian School",3,3,0,100.00
"Dyer County High School",7,7,0,100.00
"Pope John Paul II High School",7,7,0,100.00
"Comenius School.",2,2,0,100.00
"Miss Sch For Math & Sciences  ",1,1,0,100.00
"Ripley High School",1,1,0,100.00
"Miyamura High School",1,1,0,100.00
"Tennessee High School",3,3,0,100.00
"Oliver Springs High School",15,15,0,100.00
"Thomas Jefferson High School",1,1,0,100.00
"Fayette Academy",1,1,0,100.00
"Stratford High School",8,8,0,100.00
"Girls Preparatory School",3,3,0,100.00
"Cass Technical High School    ",2,2,0,100.00
"Cheatham County High School",9,9,0,100.00
"Lancaster Christian Academy",2,2,0,100.00
"Grace Christian Academy",6,6,0,100.00
"Concord High School           ",1,1,0,100.00
"Germantown High School",1,1,0,100.00
"Crockett County High School",6,6,0,100.00
"Allatoona High School",1,1,0,100.00
"LEAD Academy High School",3,3,0,100.00
"South Forsyth High School     ",1,1,0,100.00
"Nelson County High School     ",2,2,0,100.00
"Brookwood High School         ",1,1,0,100.00
"Summertown High School",3,3,0,100.00
"Collierville High School",2,2,0,100.00
"Battlefield High School",1,1,0,100.00
"Christian Brothers High School",8,8,0,100.00
"Montgomery Central High School",7,7,0,100.00
"Berean Academy",1,1,0,100.00
"Ivy Academy",2,2,0,100.00
"Los Osos",1,1,0,100.00
"Providence Christian Academy",6,6,0,100.00
"Collinwood High School",5,5,0,100.00
"Hardin County High School",3,3,0,100.00
"Perry County High School",10,10,0,100.00
"Howard School Academics & Tech",2,2,0,100.00
"Northwest Whitfield Co High   ",1,1,0,100.00
"Columbia Academy",10,10,0,100.00
"Lakeside High School          ",2,2,0,100.00
"Sachem High School East",1,1,0,100.00
"McCallie School",6,6,0,100.00
"Sweetwater High School",6,6,0,100.00
"Soulsville Charter School",6,6,0,100.00
"Scottsboro High School        ",1,1,0,100.00
"Christian Academy Of Knoxville",4,4,0,100.00
"Dwight D Eisenhower High Schoo",1,1,0,100.00
"Carter High School",5,5,0,100.00
"Campbell County Comprehen Hs",6,6,0,100.00
"Tennessee Online Public School",2,2,0,100.00
"Silverdale Baptist Academy",1,1,0,100.00
"Bloomington High School North",1,1,0,100.00
"North Atlanta High School     ",1,1,0,100.00
"Highland Rim Academy",11,11,0,100.00
"Stewart County High School",4,4,0,100.00
"Blue Springs South High School",1,1,0,100.00
"Cocke County High School",3,3,0,100.00
"Elbert County High School     ",1,1,0,100.00
"Cedar Shoals High School      ",2,2,0,100.00
"Notre Dame-Bishop Gibbons Sch",1,1,0,100.00
"Southwest Dekalb              ",1,1,0,100.00
"Dunwoody High School          ",1,1,0,100.00
"McNairy Central High School",3,3,0,100.00
"Jefferson High School         ",1,1,0,100.00
"Carthage Central High School",1,1,0,100.00
"Gateway Christian Academy",1,1,0,100.00
"Secaucus High School",1,1,0,100.00
"Triad High School",1,1,0,100.00
"Scott County Senior High Schoo",1,1,0,100.00
"Wilson County Adult Hs",2,2,0,100.00
"East Hickman High School",5,5,0,100.00
"Riverside High School         ",1,1,0,100.00
"Seminole Ridge High School",1,1,0,100.00
"Northview High School         ",1,1,0,100.00
"Saint Louis De Gonzague",2,2,0,100.00
"Woodstock High School         ",1,1,0,100.00
"Headland High School          ",1,1,0,100.00
"Haverling High School         ",1,1,0,100.00
"Home Schooled Student",7,7,0,100.00
"Crete Monee High School       ",1,1,0,100.00
"Hamilton Co Coll High Chatt St",1,1,0,100.00
"Maristes Monterrat",1,1,0,100.00
"Massey Hill Classical High Sch",1,1,0,100.00
"East Nashville Magnet School",4,4,0,100.00
"Porter RIdge High School      ",1,1,0,100.00
"Mose Vines Preparation Acad",1,1,0,100.00
"Loganville High School        ",1,1,0,100.00
"Putnam County Adult High Sch",1,1,0,100.00
"Wayne County High School      ",1,1,0,100.00
"Sullivan East High School",6,6,0,100.00
"De Beque High School          ",1,1,0,100.00
"Cumberland Gap High School",2,2,0,100.00
"Mountain Range High School",1,1,0,100.00
"Eastlake High School          ",1,1,0,100.00
"Hartselle High School         ",1,1,0,100.00
"Elizabethtown Sr High School  ",1,1,0,100.00
"Mattawan High School          ",1,1,0,100.00
"Al Dhafra Private Schools",1,1,0,100.00
"Chelsea High School           ",2,2,0,100.00
"Huntingdon High School",4,4,0,100.00
"Cudahy High School",2,2,0,100.00
"Dutchtown High School",1,1,0,100.00
"Turpin High School",1,1,0,100.00
"Myers Park High School        ",1,1,0,100.00
"Lewis County High School",7,7,0,100.00
"The Ogburn School Inc",2,2,0,100.00
"Hume-Fogg Academic High School",21,21,0,100.00
"Gadsden High School           ",1,1,0,100.00
"Riverside High School",4,4,0,100.00
